song,song_popularity,artist,album,album_cover,artist_popularity,genre
Two Bugs and a Roach,48,Earl Hooker,Two Bugs and a Roach,https://i.scdn.co/image/ab67616d0000b2734e5cf506977a12799a865418,38,blues
Hate It When You Leave,48,Keith Richards,Vintage Vinos,https://i.scdn.co/image/ab67616d0000b273d7aa1071e55ff537830137af,45,blues
"Don't Think Twice, It's All Right - Live",48,Susan Tedeschi,"Live From Austin, TX",https://i.scdn.co/image/ab67616d0000b273e972342e08a4771d171bb581,49,blues
You Don't Want Me,48,Earl Hooker,Two Bugs and a Roach,https://i.scdn.co/image/ab67616d0000b2734e5cf506977a12799a865418,38,blues
Tuff Enuff,48,The Fabulous Thunderbirds,Tuff Enuff,https://i.scdn.co/image/ab67616d0000b273d9042689ebf05e7906540da4,44,blues
For What It's Worth,48,Tab Benoit,Power Of The Pontchartrain,https://i.scdn.co/image/ab67616d0000b2734b1357b60476c7d00aa2d5b3,45,blues
T-Bone Blues,48,T-Bone Walker,T-Bone Blues,https://i.scdn.co/image/ab67616d0000b2737a5bc7399749f64fd13ac802,44,blues
I Love The Life I Live (I Live The Life I Love),48,Muddy Waters,The Chess Box,https://i.scdn.co/image/ab67616d0000b273dc8136afa6d14e89c8c321e6,55,blues
Crosscut Saw - Mono Mix,48,Albert King,Born Under A Bad Sign (Mono),https://i.scdn.co/image/ab67616d0000b27353d060bca8e1bfe646f09ef7,49,blues
Got My Mojo Working,48,Muddy Waters,His Best 1956-1964 - The Chess 50th Anniversary Collection,https://i.scdn.co/image/ab67616d0000b2730f202f2eedb8a9abf470638e,55,blues
Short Dressed Woman,48,Lafayette Leake,"Easy Blues (France, 1978) [Blues Reference]",https://i.scdn.co/image/ab67616d0000b27398d95f5eae73d275c6c2fef7,31,blues
All Your Love,48,Magic Sam,The Essential Magic Sam: The Cobra and Chief Recordings 1957-1961,https://i.scdn.co/image/ab67616d0000b2732595674886b1fa5ed0b4e696,38,blues
Albert's Shuffle,48,Mike Bloomfield,Bloomfield-A Retrospective,https://i.scdn.co/image/ab67616d0000b273fc718cd06ffd8431925f14f2,38,blues
Call It Stormy Monday,48,T-Bone Walker,T-Bone Blues,https://i.scdn.co/image/ab67616d0000b2737a5bc7399749f64fd13ac802,44,blues
Diving Duck Blues,48,Taj Mahal,TajMo,https://i.scdn.co/image/ab67616d0000b273ac9aeba6b1c9fbbd95a958ea,54,blues
Step In,48,Cedric Burnside,I Be Trying,https://i.scdn.co/image/ab67616d0000b273181c0999d0e1ed5038347b5c,38,blues
